Tweets,sentiments
RT @DefinedSTEM: 3 Benefits of Using #PBL in a Special Education Classroom. https://t.co/DMjyu2OyTa @Maine_207 @KenWallace207 #PBLbloggers…,"Sentiment(polarity=0.4285714285714286, subjectivity=0.7857142857142857)"
"Channal :- KD Sharma

Please Don't Forget To Share, Like, Comment if You Like &amp; Subscribe To KD Sharma Youtube Chan… https://t.co/QEqpYbFb95","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @NEAToday: What a day yesterday at #NEARA19!

Here's the recap of what the candidates said on issues like educator pay, education fundin…","Sentiment(polarity=0.0, subjectivity=0.0)"
"RT @fagstein: Education minister says Malala Yousafzai is welcome to teach in Quebec, but needs to take off her headscarf.

Because we’re o…","Sentiment(polarity=0.8, subjectivity=0.9)"
"""Foreign language learning more vital than ever in post-Brexit world"" https://t.co/oY81JSNahg","Sentiment(polarity=0.15833333333333333, subjectivity=0.3416666666666666)"
RT @namboga_wn: “... No amount of tweaking the tertiary education system will change the outcomes until African countries start producing p…,"Sentiment(polarity=0.0, subjectivity=0.0)"
Well done sir @SenTedCruz there is lack of education of history in America even by so called oppressed individuals… https://t.co/6TU0jWGoMX,"Sentiment(polarity=0.0, subjectivity=0.0)"
Over the years we were able to help families lives become stable thanks to our food bank programme. Those who are u… https://t.co/LYnoK6WyHG,"Sentiment(polarity=0.35, subjectivity=0.4125)"
I found out yesterday that I will be graduating with a 2:1 BA (Hons) Primary English Education degree from… https://t.co/XDJisJ9wpe,"Sentiment(polarity=0.2, subjectivity=0.25)"
eConfidence Serious Game against bullying School of Empathy @eConfidence_eu https://t.co/MbE9NSgeGk… https://t.co/8jnvhlnW0u,"Sentiment(polarity=-0.3666666666666667, subjectivity=0.5333333333333333)"
